Societe,SIREN,SIRET_siege,Nom_president,Prenom_president,Fonction,Ville_siege,Code_NAF,Libelle_NAF,Objet_social
ADAPTEL 006,834422164,83442216400030,Walch,Bernard,Président,LILLE,78.20Z,Activités des agences de travail temporaire,
ADAPTEL PARIS,479015042,47901504200019,Yamini,Farokh,Président,PARIS,78.20Z,Activités des agences de travail temporaire,
